Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
21432,1776,2,1529330400,,
21433,1782,2,1529330400,,
21434,1785,2,1529330400,,
21435,1787,2,1529330400,,
21436,1791,2,1529330400,,
21437,1845,2,1529330400,,
21438,6810,2,1529330400,,
21439,6809,2,1529330400,,
21440,6800,2,1529330400,,
21441,6800,5,1529330400,7800,
21442,6803,2,1529330400,,
21443,6805,2,1529330400,,
21444,6800,2,1529330400,,
21445,6805,2,1529330400,,
21446,6808,2,1529330400,,
21447,3531,2,1529330400,,
21448,3528,2,1529330400,,
21449,6800,2,1529330400,,
21450,6800,5,1529330400,16365,
21451,6800,5,1529416800,1930,
21452,6800,2,1529416800,,
21453,6800,2,1529416800,,
21454,6808,2,1529416800,,
21455,6806,2,1529416800,,
21457,6808,2,1529416800,,
21458,6806,2,1529416800,,
21459,6800,2,1529416800,,
21460,1479,5,1529416800,16078,
21461,1479,2,1529416800,,
21462,6800,2,1529416800,,
21463,6800,2,1529416800,,
21464,6808,2,1529416800,,
21465,6800,5,1529416800,16377,
21466,6814,2,1529416800,,
21467,1768,2,1529416800,,
21468,6808,2,1529416800,,
21469,6808,2,1529416800,,
21470,6776,2,1529416800,,
21471,6791,2,1529416800,,
21472,6791,2,1529416800,,
21473,1769,2,1529416800,,
21474,6820,2,1529416800,,
21475,6808,2,1529416800,,
21476,6797,1,1529416800,,
21477,6797,2,1529416800,,
21478,6800,2,1529416800,,
21479,6808,2,1529416800,,
21480,6800,16,1529416800,,
21481,6811,2,1529416800,,
21482,6822,3,1529416800,,
21484,6808,2,1529416800,,
21485,6800,2,1529416800,,
21486,1768,2,1529416800,,
21487,6808,2,1529416800,,
21488,6811,2,1529416800,,
21489,6822,15,1529416800,,
21490,6825,10,1529416800,,
21491,6815,1,1529416800,,
21493,117,2,1529416800,,
21494,6800,2,1529416800,,
21495,6800,5,1529416800,16409,
21496,6823,2,1529416800,,
21497,6826,2,1529416800,,
21498,6827,2,1529416800,,
21499,6811,2,1529416800,,
21500,6822,10,1529416800,,
21501,6830,2,1529416800,,
21502,6809,2,1529416800,,
21503,6824,5,1529503200,16322,
21504,6800,2,1529503200,,
21505,6800,5,1529503200,16417,
21506,6808,2,1529503200,,
21508,6830,15,1529503200,,
21509,6787,2,1529503200,,
21511,1930,2,1529503200,,
21512,6835,2,1529503200,,
21513,6826,2,1529503200,,
21514,6837,2,1529503200,,
21515,6836,2,1529503200,,
21516,6837,2,1529503200,,
21517,6834,3,1529503200,,
21518,6800,2,1529503200,,
21519,6778,2,1529503200,,
21520,6832,2,1529503200,,
21521,6800,2,1529503200,,
21522,2236,5,1529503200,16279,
21523,6838,2,1529503200,,
21524,6800,2,1529503200,,
21525,6776,2,1529503200,,
21526,6776,5,1529503200,16354,
21527,1479,2,1529503200,,
21528,4044,2,1529503200,,
21529,4726,2,1529503200,,
21530,2867,2,1529503200,,
21531,2867,5,1529503200,16354,
21532,92,2,1529503200,,
21533,4051,2,1529503200,,
21534,92,5,1529503200,16354,
21535,4253,2,1529503200,,
21536,6834,5,1529503200,16322,
21537,6836,2,1529503200,,
21538,6834,2,1529503200,,
21539,6834,5,1529503200,7800,
21540,6832,2,1529503200,,
21541,6832,5,1529503200,7800,
21542,6833,2,1529503200,,
21543,6831,2,1529503200,,
21544,6830,2,1529503200,,
21545,6824,2,1529503200,,
21546,6823,2,1529503200,,
21547,6823,5,1529503200,7800,
21548,6814,2,1529503200,,
21549,6815,2,1529503200,,
21550,6819,2,1529503200,,
21551,6809,2,1529503200,,
21552,6811,2,1529503200,,
21553,6816,2,1529503200,,
